"S_SUPPKEY"|"S_NAME"|"S_ADDRESS"|"S_NATIONKEY"|"S_PHONE"|"S_ACCTBAL"|"S_COMMENT"
245|"Supplier#000000245       "|"0By2N R0yg2L6"|1|"629-571-9231   "|7585,85|"unusual requests above wake unusual, ironic accounts ."
251|"Supplier#000000251       "|"P4g w2Pi4i42ykw  kyy6kwigkyyykww2kNgL0iw"|0|"247-839-4258   "|-770,9|"quickly pending platelets among affix quickly between ."
252|"Supplier#000000252       "|" iNP N60RR66N4LPBmNRywy N6y4Nk"|0|"278-535-4443   "|-661,58|"regular requests impress fluffily ;"
259|"Supplier#000000259       "|"i2P2ywiyyyLL66w66kwBB00ymB0mL6iRLmBPB m"|19|"902-215-4570   "|1025,83|"regular, regular deposits are across ."
11265|"Supplier#000011265       "|"42wRkNP6iwLB0yi iPB4iw B2L4 i"|7|"951-246-2397   "|-197,16|"fluffily final asymptotes are around ."
11272|"Supplier#000011272       "|"kiPP0gyLmLk4w400660NiBPy0iN4ymi6B"|2|"465-703-4593   "|7010,06|"packages wake furiously pending asymptotes ."
11275|"Supplier#000011275       "|"R4g6Rkk 0RLNi0i4iiR2mi2Rgg"|22|"965-267-7170   "|8131,9|"ironic, ironic accounts wake across ."
11278|"Supplier#000011278       "|"RPyR N6PNkBB46wPgwmNN m62BB6B664k 2"|22|"698-872-7574   "|5806,67|"regular, unusual deposits integrate quickly across ."
11279|"Supplier#000011279       "|"y2PBPB64Lm"|22|"927-481-3010   "|9756,03|"bold requests above run closely above :"
11289|"Supplier#000011289       "|" 02gm0L 24wBkN60Nyk  6NPLRRPRiLNiNR0"|8|"836-135-8774   "|-436,56|"quickly special dependencies solve fluffily ."
11300|"Supplier#000011300       "|" 06Rym RmR NN0BPBPNBLwBg"|10|"408-187-1463   "|6119,14|"quickly even dependencies haggle carefully alongside of ."
11301|"Supplier#000011301       "|"mBBN0w4wR4"|16|"691-923-9944   "|3474,33|"carefully ironic foxes cajole after ."
11310|"Supplier#000011310       "|"B6mB2m LmkwPwiBL0 0 2BBmNNP20LwRy6LyRmB2"|7|"575-302-3885   "|8740,73|"carefully pending ideas haggle carefully after ."
11314|"Supplier#000011314       "|"ig22B4L042mm0NL m60646k2P04BgP6 0NNL"|24|"911-967-4655   "|2284,11|"packages cajole ."
11322|"Supplier#000011322       "|"yy06iNm2gBwLNw24LN y6P2w0i6NmN4"|24|"984-223-9351   "|1248,61|"carefully express deposits after cajole carefully blithely regu"
11323|"Supplier#000011323       "|"i 2wNLL2Bk622kyiyL2R kgg m"|18|"263-229-7175   "|6393,19|"fluffily special asymptotes wake fluffily final asymptotes ."
11326|"Supplier#000011326       "|"N4gw0PiB6g"|12|"856-959-3401   "|3085,85|"quickly regular platelets sleep among ."
11327|"Supplier#000011327       "|"6wg0BwNP46yB2P606 gP2"|2|"476-699-1722   "|7941,8|"unusual, final deposits could cajole across ."
11329|"Supplier#000011329       "|"yPNw0kRL0w4m4BNL0B"|6|"140-531-2897   "|3282,29|"finally unusual decoys toward sleep across ."
11335|"Supplier#000011335       "|"iwNyN NN62LL 0yBRy00y"|4|"890-735-2355   "|-166,09|"ruthlessly even patterns boost quickly blithely bold theodolite"
11339|"Supplier#000011339       "|"0g0 wyiwmw2gL6RkRB6mgR"|21|"630-548-7317   "|3145,83|"closely express braids nag carefully carefully regular deposits"
11341|"Supplier#000011341       "|" wiwgNBwRBym0NB"|20|"369-288-8007   "|8396,54|"blithely sly theodolites wake final requests ."
11344|"Supplier#000011344       "|"0P4gP6wgRkyPgN0Bi6m2wmBLiLRmNRywggwg"|24|"737-495-3547   "|8795,01|"ironically express realms wake ."
11351|"Supplier#000011351       "|"40kLikiikkPik y4gLPiLN LmkNPg06mPLgm2"|23|"932-912-8024   "|8439,39|"express accounts solve fluffily ."
11352|"Supplier#000011352       "|"P2kNiwgB60Ry"|4|"456-645-1769   "|4946,19|"blithely ironic theodolites cajole ."
11365|"Supplier#000011365       "|"2BmkkggLgNw2g"|5|"281-859-4778   "|1519,76|"unusual accounts doze stealthily slyly final courts ?"
11368|"Supplier#000011368       "|"k0 4Lgi0  4 Bm600Rw"|13|"958-455-5514   "|7408,93|"regular requests wake ."
11371|"Supplier#000011371       "|"RL BPwywki0NmiPmi0"|15|"475-267-3548   "|6033,82|"ruthlessly bold Tiresias' boost blithely quickly regular platel"
11375|"Supplier#000011375       "|"g242y2 2m4mL imN02k6PP PywLRNyRiN"|11|"843-232-8932   "|8221,7|"even accounts nag blithely slyly even excuses ."
11380|"Supplier#000011380       "|"Lwww0m02kgL 2i0miNimgBBLyiw 4w640Ny0gNB"|10|"198-767-7457   "|7141,89|"permanently regular tithes of integrate quickly thinly final fo"
11386|"Supplier#000011386       "|"w0kgN6iiw0ig2k2kmgmyNPgNPPLi0ww"|10|"408-163-4113   "|8465,01|"final accounts according to cajole along ."
11397|"Supplier#000011397       "|"Nm4mB2NNLNRPNm wB6gNwykR2PRL2 Pg 0Bm"|0|"689-244-8875   "|5034,13|"blithely unusual instructions play finally alongside of !"
11407|"Supplier#000011407       "|"iyR0PyiyLymk 0RiyyL62B P6R2k"|8|"600-224-4223   "|5301,47|"ironic accounts sleep according to ."
11411|"Supplier#000011411       "|"2Lg6mgP4kBPm6 4N 2Ny2 4i4 2Pg 0"|2|"286-362-2571   "|-108,29|"regular accounts according to boost blithely slyly ironic foxes"
11414|"Supplier#000011414       "|"mRmPyBRm4wPmRNgB 6 g6k02mB0LgwL2RyBmg"|6|"304-860-6715   "|3918,22|"doggedly ironic warhorses except haggle carefully carefully iro"
11417|"Supplier#000011417       "|"kmgmPRBmPwwmwky0yPm"|16|"354-740-4905   "|-858,96|"packages x-ray fluffily about ."
11418|"Supplier#000011418       "|"y0ykky44R62LmBmN"|19|"562-367-3051   "|4339,02|"busily ironic sheaves poach quietly fluffily ironic asymptotes "
11419|"Supplier#000011419       "|"P ww4P0wNLPwLgPy0mLRgN06N"|14|"743-215-2216   "|4965,49|"carefully final foxes hang ironically after --"
11420|"Supplier#000011420       "|"BwwkRL44 Ni4kmgBkRi04wPiR604y"|12|"478-168-6826   "|6987,27|"carefully silent deposits after wake according to ."
11430|"Supplier#000011430       "|"yRBB0g2R0iwBy"|3|"842-713-1995   "|9493,09|"fluffily regular multipliers wake at ."
11431|"Supplier#000011431       "|"igiy0R4ywN4wkmBLgN6NBPBmPN20g0iwRyBkNNi"|23|"832-616-1713   "|4423,4|"carefully sly foxes after wake stealthy accounts ."
11432|"Supplier#000011432       "|"RPikiLkNm4N gNy"|8|"683-633-8242   "|4017,83|"fluffily thin courts sleep fluffily final warthogs ."
11433|"Supplier#000011433       "|"kPi wgky 4y4y2yL00R4N"|2|"258-830-7816   "|7676,19|"quickly final dependencies are ."
11440|"Supplier#000011440       "|"RiLm4R k444NNN"|7|"464-459-4110   "|9713,82|"carefully ironic deposits after haggle carefully quickly bold i"
11442|"Supplier#000011442       "|"gk2wLk0iw4N4BL"|6|"612-383-5045   "|8303,37|"carefully regular foxes after wake against ."
11453|"Supplier#000011453       "|"2B42Py y0wRBNPw4PiPwkkLLiimmk0y"|19|"333-364-7155   "|2851,4|"unusual, ironic deposits cajole carefully ."
11454|"Supplier#000011454       "|"PiwLy22gim"|13|"418-662-5772   "|5424,14|"special, thin deposits are ."
11464|"Supplier#000011464       "|"PkgLB6P ymL240kBmg"|7|"462-544-7981   "|2727,83|"ironic accounts boost blithely according to ."
11469|"Supplier#000011469       "|"0kR2NNiiyRimyy  BL60BPi4BLm"|21|"965-778-6486   "|796,87|"final requests nod quickly above ."
11470|"Supplier#000011470       "|"LBwy0wNy20yiR02By6m P26kBBLw"|14|"406-702-4077   "|3955,93|"blithely bold theodolites integrate quickly against ."
11474|"Supplier#000011474       "|"RyRk4m6wgkP4wR2"|0|"929-291-6796   "|7390,65|"unusual accounts thrash fluffily according to ."
11478|"Supplier#000011478       "|"L R 6RiwB2kRk44B4k4RgiRN6LB6ymNy gym 6g "|9|"512-193-3301   "|9397,85|"blithely even theodolites are against ."
11480|"Supplier#000011480       "|"N66Lg4Nk 6N 4iw4 Pik6mkNm"|8|"940-927-6012   "|6429,16|"packages affix quickly ."
11483|"Supplier#000011483       "|"k4yRBL  Bi6yLLgy"|6|"228-182-4996   "|5312,37|"doggedly pending warhorses for boost blithely around ."
11488|"Supplier#000011488       "|"y40PP 04myikNwBBi i0L42LmyBLLyR6Pg"|7|"408-342-9643   "|5778,56|"special, pending deposits wake across ."
11494|"Supplier#000011494       "|"yw6B6P0PyP0y0g6k2N6k6iP44B2Ng"|7|"603-642-2742   "|3749,46|"packages are packages ."
11499|"Supplier#000011499       "|"Lmw6PwkBiBRg4k4 Nm4R6"|20|"295-243-6925   "|9746,94|"even requests are according to ."
11503|"Supplier#000011503       "|"LwwywL2PBByL"|1|"959-245-2542   "|-432,46|"blithely unusual ideas boost blithely ."
11513|"Supplier#000011513       "|"NwBB24g4wk4k0BLimLw46N gi2RLBw20gwy2Rm6"|4|"616-737-2077   "|77,33|"regular, ironic accounts could cajole across ."
11517|"Supplier#000011517       "|"4kLNyPwwmNLiw g46igPg"|14|"330-634-7091   "|9653,52|"fluffily pending asymptotes nag blithely around ."
11525|"Supplier#000011525       "|"200Nk wBm2PPN6w0w6"|24|"519-685-4047   "|1383,01|"express, final accounts across run closely after :"
11528|"Supplier#000011528       "|"0LB4wkmRPNPyN4w04y022"|9|"908-965-1206   "|7067,97|"special, regular deposits across use blithely even requests ."
11530|"Supplier#000011530       "|"g044yR6P2w gg B2BPLRLwBw6"|16|"578-299-1141   "|5936,26|"regular accounts breach fluffily slyly pending ideas ."
11532|"Supplier#000011532       "|"y6RR04RyPB m4BR2BBBgwwmwRy0L"|22|"148-530-7392   "|4513,07|"fluffily ironic attainments haggle carefully final requests ."
11534|"Supplier#000011534       "|"y4Pi NPgw0 wNw BkP26gP6iyL"|8|"140-947-6311   "|8028,17|"quickly unusual dependencies mold slowly alongside of :"
11538|"Supplier#000011538       "|"B4mN6R4w2m2BRyPyBL2Lk6gL2B"|24|"125-434-8285   "|4551,75|"blithely regular theodolites against integrate quickly blithely"
11546|"Supplier#000011546       "|"66RP2mgL kLLB224m6RRB4gL BmL06N6RR4kiNBy"|0|"241-541-7980   "|9116,97|"fluffily final asymptotes serve thinly bold requests :"
11547|"Supplier#000011547       "|"4mR4gNi4ykiBNP2mLy42wgB4iBP4m6i0 6 wL Ri"|17|"650-131-8095   "|7903,59|"blithely unusual theodolites eat fluffily quickly ironic excuse"
11549|"Supplier#000011549       "|"20LRNBgPkBNL 00"|14|"430-631-5549   "|4624,34|"final, express deposits sleep ."
11558|"Supplier#000011558       "|"2RkLw4k4LkmNRmP  PiP2iL2"|4|"889-920-9688   "|6776,74|"blithely regular ideas poach ruthlessly even, special deposits "
11567|"Supplier#000011567       "|"N22N404iwkkNwyg N0Rm4wN022wm4RB"|12|"927-810-4323   "|1620,33|"packages detect quickly about ."
11569|"Supplier#000011569       "|"kN NRR4BN0 6 w6RNL6NLw4NLmPmk Pgmik0 P"|23|"916-382-5509   "|8484,49|"ironically bold realms sleep ."
11572|"Supplier#000011572       "|"LN6PL6y By"|15|"879-472-5696   "|3898,03|"quickly special dependencies could cajole ."
11573|"Supplier#000011573       "|"NLkyB00RRNLm0iPPN4iwBw k6N4g2"|12|"640-333-4285   "|7170,83|"evenly fluffy pains snooze stealthily carefully unusual ideas ?"
11575|"Supplier#000011575       "|"wNR06Lw0k6 Lw0iBkNmPgyN2i02By2LkBL"|21|"786-366-4656   "|7543,57|"bold accounts wake slyly even sheaves ."
11580|"Supplier#000011580       "|"gy0BPgk wPNwy6k6P02y2kimgw 0B2L0Bg6Byk"|19|"731-938-3536   "|5430,27|"unusual, even deposits boost blithely across ."
11581|"Supplier#000011581       "|" yPg2kkmPkNgy"|1|"417-520-6431   "|8582,97|"blithely even theodolites along sleep about ."
11584|"Supplier#000011584       "|"RR y4wi6Nyw26mwL"|9|"808-296-5988   "|-508,28|"even requests nag blithely above ."
11588|"Supplier#000011588       "|"P4w 4PBigyNB2NPyPkR02"|16|"164-156-1461   "|3088,1|"enticingly final orbits haggle carefully even requests ."
11589|"Supplier#000011589       "|"NB0k0gw 0Pwk26BBy"|12|"942-132-3800   "|1675,17|"quickly regular dependencies could cajole alongside of ."
11590|"Supplier#000011590       "|" N0 iy  iiPBg62kP2N46iN4w204"|21|"425-477-5548   "|3536,89|"even requests wake furiously final instructions ."
11591|"Supplier#000011591       "|"N0iwkL 6PNk wgBB2 BL2wgmggR06wyL"|1|"736-457-2238   "|9533,84|"regular, express accounts across use blithely among ."
11593|"Supplier#000011593       "|"B6k2B66yB yNg2Bi6NNLBL"|9|"119-668-8400   "|-69,87|"carefully final ideas are ."
11594|"Supplier#000011594       "|"wLgLRwimB  kgByyN w0LBkw2iN2P"|23|"720-883-3926   "|640,64|"ironic, ironic deposits sleep carefully regular grouches ."
11599|"Supplier#000011599       "|"By4Ni0LiB2N604iPiNkgL60yykP k0m2Pygm6"|18|"519-166-2487   "|7034,46|"carefully regular ideas haggle carefully ."
11600|"Supplier#000011600       "|"kRmN4ywBLP2LwNgLw m6LP0BLP0NPBB0B"|21|"399-829-5161   "|9265,87|"blithely express pinto beans are along ."
11607|"Supplier#000011607       "|"wmwB2 yR66mi k6BNyg2PgL6yyR  PL"|12|"781-691-1981   "|2912,25|"brave accounts according to are above ."
11609|"Supplier#000011609       "|"NyN m6PBPRR4k2Py4y0660L4Pwm2wyL"|15|"655-903-7643   "|5464,85|"quickly pending instructions wake fluffily express dolphins ."
11612|"Supplier#000011612       "|"i24Nw2m0k2"|3|"155-664-9187   "|3621,12|"fluffily ironic asymptotes cajole packages ."
11614|"Supplier#000011614       "|"gBwyLPi04wR NB RPBi4L26m"|19|"843-816-8996   "|9457,78|"regular requests cajole regular, final deposits ."
11615|"Supplier#000011615       "|"BB0RN6yRR LNyRB4mm2iwm y4NL0kw"|17|"508-179-7561   "|4998,83|"packages dazzle daringly ?"
11616|"Supplier#000011616       "|"gNwmmmmB2NyyLg44ggL4Nkwy"|2|"747-961-1718   "|6364,1|"regular, final deposits use blithely ."
11617|"Supplier#000011617       "|" 04 g4L2i2mg4kRPN0m0LB"|3|"261-353-7535   "|6450,28|"final accounts wake ."
11622|"Supplier#000011622       "|"R0PwiRRyiw6Pgym R40yRNk0RmNRRN20LNB 4L"|3|"810-235-3960   "|8833,55|"packages nag blithely about ."
11626|"Supplier#000011626       "|"PLiLR w2PgPy4462imyPw6R 2BLB0wiLLNi"|19|"435-418-4851   "|9914,2|"permanently stealthy tithes are near ."
11631|"Supplier#000011631       "|" B4gyLggkgi"|12|"870-425-7345   "|8467,23|"blithely express pinto beans boost blithely regular, even depos"
11633|"Supplier#000011633       "|"i46P2 Rk 2Nyw6gBLimwN6mRPw46Lw  g w"|5|"972-358-6453   "|8704,99|"idly bold gifts sleep past ."
11642|"Supplier#000011642       "|"kmw LN4wRP2m"|1|"329-230-7010   "|6515,02|"carefully unusual foxes sleep ."
11644|"Supplier#000011644       "|"6LR0ikmwLwLik4mmiNgyRN0BB yy igLNRPLk"|21|"876-785-3879   "|2157,63|"regular requests sleep slyly ironic hockey players ."
11646|"Supplier#000011646       "|" PmkB6k kg06i w0kP P "|13|"342-525-8481   "|2745,23|"carefully pending deposits sleep packages ."
11648|"Supplier#000011648       "|"4kgNwPy0NmRwmw"|18|"117-202-9762   "|1923,63|"final requests sleep ."
11669|"Supplier#000011669       "|"Ry6BkBkR66R6R0kygNg6i6m4Lyw6Rm 2"|14|"785-182-1021   "|6957,18|"ironically even realms until wake across ."
11681|"Supplier#000011681       "|"y4NmwikwmBg2"|19|"532-152-9989   "|8642|"close, even deposits nag blithely across ."
11684|"Supplier#000011684       "|"24RiPykPk 02miNywiwP4BkP6Byg0NNk44iP"|2|"437-801-9808   "|-585,05|"carefully unusual ideas sleep ."
11688|"Supplier#000011688       "|"wR6B2 LPgLkmkRPNgkB yw0yBgNk"|10|"178-679-5771   "|2110,91|"final accounts wake according to ."
11690|"Supplier#000011690       "|"20 PgR0iPyRm62k2g"|17|"669-404-5777   "|4044,32|"blithely unusual pinto beans are regular requests ."
11695|"Supplier#000011695       "|"0w 06Pkkm2N0BRym"|23|"904-906-3281   "|-765,73|"packages boost blithely furiously regular dependencies ."
11696|"Supplier#000011696       "|"0262L6wmP6B4kR BR40wiBBwNm6LyNi"|21|"383-719-5007   "|9234,88|"express requests use blithely above ."
11701|"Supplier#000011701       "|"Piy0N0Ngkww"|5|"456-219-3627   "|-292,43|"carefully regular foxes after haggle carefully quickly final in"
11705|"Supplier#000011705       "|"RyRNw62gB4R44kL"|18|"361-957-5974   "|9741,7|"quickly pending excuses maintain quickly ."
11706|"Supplier#000011706       "|"Bky6w2040k gBm2g"|7|"938-352-5942   "|2808,51|"even, silent deposits haggle carefully slyly bold instructions "
11712|"Supplier#000011712       "|"w62PBy6kN4 P2 kgLi42yRL42L6  mP6 4kwy"|7|"461-453-5237   "|4659,45|"quickly silent excuses among use blithely above ."
11717|"Supplier#000011717       "|"RLww6RRky0BmyNPi"|4|"917-847-8870   "|2929,56|"silent accounts unwind enticingly slyly unusual tithes !"
11719|"Supplier#000011719       "|"kgByBm2Nw6 ym4LkBw R2L2P 4By6m4yNiw i"|7|"735-687-6907   "|312,17|"blithely even theodolites use blithely quickly ironic excuses ."
12153|"Supplier#000012153       "|"R6iRN20w0yy2L6mygRLNBmw0m042 "|18|"727-631-8134   "|9734,12|"express, final deposits x-ray fluffily across ."
12155|"Supplier#000012155       "|"2yB44N6L0NyN0g  N i"|13|"692-637-3381   "|3790,93|"blithely ironic ideas are fluffily unusual asymptotes ."
12157|"Supplier#000012157       "|"RPwkk22yNNkR4m02L4ikLLm"|19|"597-345-3699   "|1446,8|"ruthless, special deposits nag blithely across ."
12159|"Supplier#000012159       "|"wR4PB0iy0mBkL2Bk4LN 4i"|10|"160-173-7069   "|5335,38|"close requests cajole above ."
12161|"Supplier#000012161       "|"L0BiwwP4g64g602Liy4BRP02"|10|"857-679-3219   "|366,51|"bold requests are slyly final foxes ."
12169|"Supplier#000012169       "|"6LmiRw6gN6 LLNym0i"|18|"667-526-1443   "|3000,18|"packages detect quickly ."
12170|"Supplier#000012170       "|"m46ww0igNg P 0mL4R0Lw66  yLgk24LN"|11|"193-332-1257   "|8928,75|"ironic requests wake ."
12171|"Supplier#000012171       "|"i4kg6 i6NyN224ky 2i6mNgwk2ggmwkw"|14|"299-732-6290   "|1544,93|"quickly permanent excuses cajole among ."
12175|"Supplier#000012175       "|"2B6i0R4 kNRgwyg2m00Ri6RkwNN6m0Pg Pimy"|7|"607-378-5362   "|-969,12|"ironic accounts sleep ."
12182|"Supplier#000012182       "|"N6yNywBmmmyPm4 w2RBmgRmNL iw0Ly00B6NmPg"|23|"378-858-5452   "|7527,96|"quickly bold dependencies could cajole ."
12184|"Supplier#000012184       "|"20 kk PNBB2wByPB0g0"|0|"527-636-8608   "|6199,22|"packages thrash fluffily about ."
12185|"Supplier#000012185       "|"N6gLNNN2NLLi y2wBgkBLmNwikBmBLwPmgwg"|24|"762-324-2250   "|7287,55|"unusual accounts boost blithely according to ."
12186|"Supplier#000012186       "|"N00Bkiig4 Pw4gkwmymN46RkPgig0By"|1|"197-345-7706   "|5837,91|"blithely ironic pinto beans haggle carefully quickly pending ex"
12187|"Supplier#000012187       "|"6gmwRRmLiRNwgk2BykL"|22|"531-711-8157   "|6784,45|"special, pending deposits sleep across ."
12190|"Supplier#000012190       "|"NkN  Rk0yyB0RLkyNg BNw0iNPNm"|12|"270-476-9262   "|8931,41|"final, regular deposits haggle carefully ."
12192|"Supplier#000012192       "|"02myyi2  wgPN2RwR"|8|"589-189-6354   "|483,39|"finally unusual sentiments sleep ."
12195|"Supplier#000012195       "|"B0iRR iN PygL6P  L 2ww 6R6P"|20|"872-180-3263   "|1179,44|"regular accounts according to nag blithely among ."
12203|"Supplier#000012203       "|" L2wwNBwLB4ky L"|12|"868-237-5933   "|6980,46|"final requests above wake across ."
12211|"Supplier#000012211       "|"P 6RgPiL2 mP "|3|"685-699-9269   "|-962,09|"unusual requests above are ironic requests ."
12212|"Supplier#000012212       "|"m 4km 0iwRPmy w wN4N6 N"|15|"308-915-6348   "|9084,53|"even accounts according to sleep slyly ironic orbits ."
12214|"Supplier#000012214       "|"2wRLk 6LgPPPB0iRR Byw0wR6P"|4|"128-235-1681   "|-325,03|"quickly express instructions wake ."
12219|"Supplier#000012219       "|" LNi2 664kLP46 N4N"|16|"674-871-7549   "|4130,58|"quietly regular somas beside cajole carefully blithely silent i"
12222|"Supplier#000012222       "|"00 yiwLimR22ki4B6m6ww"|14|"533-234-7007   "|8997,47|"bravely final notornis haggle carefully inside ."
12224|"Supplier#000012224       "|"wmN6B22Pmy44PgyyL"|11|"813-493-9770   "|-296,5|"final requests nag blithely above ."
12226|"Supplier#000012226       "|"ByLNi2B22y26LLm"|1|"286-430-9779   "|2589|"special requests above sublate fluffily according to ."
12234|"Supplier#000012234       "|"Ny2Pgygg02NN"|23|"599-791-3979   "|8264,59|"quickly express excuses cajole busy accounts ."
12239|"Supplier#000012239       "|"y0Bgk6wg6m6R"|19|"977-376-6201   "|6083,93|"carefully final foxes after cajole carefully fluffily ironic co"
12241|"Supplier#000012241       "|"LLggyNww6ygBPR gwy"|1|"286-264-1333   "|6138,06|"carefully final deposits sleep pending accounts ."
12255|"Supplier#000012255       "|"m0y0RwB 42NP6wi66"|11|"357-141-1047   "|3219,67|"brave accounts according to detect quickly according to ."
12258|"Supplier#000012258       "|"NNRPLBPg4R6NykN wgk"|7|"154-345-3175   "|5129,64|"blithely silent pinto beans wake along ."
12259|"Supplier#000012259       "|"kNBBPRgRByyRL 20w4gkBNN0Pw0PgmgRmwg"|19|"421-947-8563   "|4939,5|"quickly special dependencies sleep alongside of ."
12266|"Supplier#000012266       "|"02ik0RkRiPNRgLy4giykiBB0g46ggmigNN4LBiL"|5|"107-463-1457   "|2217,63|"packages run closely :"
12270|"Supplier#000012270       "|" mkgmywRRwiRP2i P "|17|"481-945-9032   "|8744,52|"blithely regular instructions cajole ."
12274|"Supplier#000012274       "|"y2wi04kki6wim g"|18|"883-828-4241   "|9474,94|"quickly ironic excuses wake packages ."
12276|"Supplier#000012276       "|"wm6kLw6R62"|11|"389-157-8257   "|8061,53|"pending requests nag blithely furiously regular excuses ."
12281|"Supplier#000012281       "|"NRy00yL44BNL"|21|"909-391-1717   "|6082,65|"bold, final deposits across sleep about ."
12286|"Supplier#000012286       "|"yPBi66i 00R42gLy6iB24PgBmPwkw"|3|"653-622-8961   "|9563,21|"carefully ironic foxes haggle carefully carefully pending ideas"
12288|"Supplier#000012288       "|"wkwNPwPgmkPmwBRP"|21|"492-365-1253   "|1905,28|"fluffily regular courts haggle carefully ."
12293|"Supplier#000012293       "|"wmmkmwNRy40NikRiN4By2Ng20Lii46"|9|"586-318-5878   "|167,82|"blithely regular theodolites try to believe boldly regular acco"
12294|"Supplier#000012294       "|"6Ly i NyBwkw6iR"|9|"672-923-6135   "|2538,04|"packages wake ."
12298|"Supplier#000012298       "|"N6B0NRikN0g"|23|"712-859-1583   "|-856,58|"special, regular deposits are ."
12299|"Supplier#000012299       "|"gmw02RNii6B0R062kwy0RNyLi Bm066BPPkNwN"|5|"995-530-7525   "|375,21|"regular requests according to wake slyly bold foxes ."
871|"Supplier#000000871       "|"0NymR640y4iLRwigPimyywm4y kP6w4ymRm42"|12|"677-410-7482   "|887,51|"packages sleep ."
872|"Supplier#000000872       "|"gBN0yL 2Nw6 22iR244R4Ly i6mNwi0N"|13|"804-113-6894   "|9260,77|"quickly regular instructions alongside of sleep slowly even att"
873|"Supplier#000000873       "|"m2RN NmwwLLBmkkRg P4N46Rwwy6 iL640y"|6|"644-162-7684   "|4850,39|"final requests haggle carefully above ."
